🕘️更新时间,#genre#
2025-10-24 06:49:48,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
CCTV-1,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://211.142.224.62:2023/paiptv/CCTV1.m3u8
CCTV-1,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://27.41.245.32:801/hls/1/index.m3u8$订阅源
CCTV-1,http://222.142.185.127:8888/hls/1/index.m3u8$订阅源
CCTV-1,http://1.31.14.70:54321/hls/2/index.m3u8$订阅源
CCTV-1,http://222.85.50.23:6070/hls/1/index.m3u8$订阅源
CCTV-1,http://1.24.39.180:808/hls/1/index.m3u8$订阅源
CCTV-1,http://live1.hrtn.net/live/cctv1hd_3000.m3u8?auth_key=1761355085-f4158540201a7ccbc9dab63bb9405944-0-3a6eb6bf8a6d5b4402c7f16c6df5c96f$订阅源
CCTV-1,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-2,http://39.150.98.32:7799/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://211.142.224.62:2023/paiptv/CCTV2.m3u8
CCTV-2,http://39.150.98.32:7799/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8$订阅源
CCTV-2,http://222.142.185.127:8888/hls/2/index.m3u8$订阅源
CCTV-2,http://1.31.14.70:54321/hls/4/index.m3u8$订阅源
CCTV-2,http://1.24.39.180:808/hls/2/index.m3u8$订阅源
CCTV-2,http://222.85.50.23:6070/hls/2/index.m3u8$订阅源
CCTV-2,http://live1.hrtn.net/live/cctv2hd_3000.m3u8?auth_key=1761355085-83de0df5ce6220ab17e324a49597c599-0-26bb9f7d7c7fbe16c66a09acb841a239$订阅源
CCTV-2,http://39.150.98.32:7799/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-3,http://211.142.224.62:2023/paiptv/CCTV3.m3u8
CCTV-3,http://27.41.245.32:801/hls/3/index.m3u8$订阅源
CCTV-3,http://1.31.14.70:54321/hls/6/index.m3u8$订阅源
CCTV-3,http://222.85.50.23:6070/hls/3/index.m3u8$订阅源
CCTV-3,http://1.24.39.180:808/hls/3/index.m3u8$订阅源
CCTV-3,http://222.142.185.127:8888/hls/21/index.m3u8$订阅源
CCTV-3,http://live1.hrtn.net/live/cctv3hd_3000.m3u8?auth_key=1761355085-769480e8b8c6da4421c17cac66ec0469-0-f3119dfe32d5af10d3b18551cc90bcf7$订阅源
CCTV-3,http://39.150.98.32:7799/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-4,http://39.150.98.32:7799/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://211.142.224.62:2023/paiptv/CCTV4.m3u8
CCTV-4,http://27.41.245.32:801/hls/4/index.m3u8$订阅源
CCTV-4,http://1.24.39.180:808/hls/4/index.m3u8$订阅源
CCTV-4,http://222.85.50.23:6070/hls/4/index.m3u8$订阅源
CCTV-4,http://live1.hrtn.net/live/cctv4_1000.m3u8?auth_key=1761355085-f2dc6484252604ae8e16ebdfdf72b91f-0-a6f1d0a06c1391e52a38ecc9b9a8e185$订阅源
CCTV-4,http://111.8.224.6:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://39.150.98.32:7799/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-5,http://39.150.98.32:7799/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://211.142.224.62:2023/paiptv/CCTV5.m3u8
CCTV-5,http://39.150.98.32:7799/tsfile/live/0016_1.m3u8$订阅源
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8$订阅源
CCTV-5,http://1.24.39.180:808/hls/5/index.m3u8$订阅源
CCTV-5,http://222.85.50.23:6070/hls/5/index.m3u8$订阅源
CCTV-5,http://1.31.14.70:54321/hls/7/index.m3u8$订阅源
CCTV-5,http://live1.hrtn.net/live/cctv5hd_3000.m3u8?auth_key=1761355085-b97d7ff14fcfc96f3a1b48faca2a8f00-0-e2e6aaa7956f52efe97af1ac67a17603$订阅源
CCTV-5,http://39.150.98.32:7799/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
CCTV-5+,http://222.142.185.127:8888/hls/3/index.m3u8$订阅源
CCTV-5+,http://live1.hrtn.net/live/cctv5jhd_3000.m3u8?auth_key=1761355085-29c5f52c2f24f6e87d81d1442cdd4aa0-0-fef09ed33b65afe3841c2bedfa58cda6$订阅源
